Securities Info - Securities,,,,,,,,,,,,,,,,,,,,,
As of 09/10/2025
Security No,ISIN ,Name (Hebrew),Name (English),Symbol (Hebrew),Symbol (English),Type of Security (Hebrew),Type of Security (English),Company Supersector (Hebrew),Company Supersector (English),Company Sector (Hebrew),Company Sector (English),Company Subsector (Hebrew),Company Subsector (English),Index Membership (Hebrew),Index Membership (English),Corporate No.,Issuer No.,Issuer Name (Hebrew),Issuer Name (English),Incorporation (Hebrew),Incorporation (English)
1178292,IL0011782922,אפי נכסים אגחיג,AFI PROP B13,אפנכ.ק13,AFPR.B13,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בחו''ל,Investment-Proerties Abroad,"תל בונד צמודות ,תל בונד-צמודות 3-5 ,תל בונד צמודות-יתר ,תל בונד-מאגר ,תל בונד צמודות-נדל''ן ,תל בונד-צמודות A ,All-Bond כללי ,All-Bond צמודות","Tel Bond-CPI Linked ,Tel Bond-CPI Linked 3-5 ,Tel Bond-CPI Linked SmallCap ,Tel Bond-Composite ,Tel Bond-CPI Linked RealEstate ,Tel Bond-CPI Linked A ,All-Bond Composite ,All-Bond CPI-Linked",510560188,1172,אפי נכסים,AFI PROPERTIES,ישראל,Israel
1184530,IL0011845307,אפי נכסים אגחיד,AFI PROP B14,אפנכ.ק14,AFPR.B14,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בחו''ל,Investment-Proerties Abroad,"תל בונד צמודות ,תל בונד-צמודות 3-5 ,תל בונד צמודות-יתר ,תל בונד-מאגר ,תל בונד צמודות-נדל''ן ,תל בונד-צמודות A ,All-Bond כללי ,All-Bond צמודות","Tel Bond-CPI Linked ,Tel Bond-CPI Linked 3-5 ,Tel Bond-CPI Linked SmallCap ,Tel Bond-Composite ,Tel Bond-CPI Linked RealEstate ,Tel Bond-CPI Linked A ,All-Bond Composite ,All-Bond CPI-Linked",510560188,1172,אפי נכסים,AFI PROPERTIES,ישראל,Israel
1199603,IL0011996035,אפי נכסים אגחטו,AFI PROP B15,אפנכ.ק15,AFPR.B15,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בחו''ל,Investment-Proerties Abroad,"תל בונד-צמודות 0-3 ,תל בונד צמודות ,תל בונד צמודות-יתר ,תל בונד-מאגר ,תל בונד צמודות-נדל''ן ,תל בונד-צמודות A ,All-Bond כללי ,All-Bond צמודות","Tel Bond-CPI Linked 0-3 ,Tel Bond-CPI Linked ,Tel Bond-CPI Linked SmallCap ,Tel Bond-Composite ,Tel Bond-CPI Linked RealEstate ,Tel Bond-CPI Linked A ,All-Bond Composite ,All-Bond CPI-Linked",510560188,1172,אפי נכסים,AFI PROPERTIES,ישראל,Israel
1210947,IL0012109471,אפי נכסים אגחטז,AFI PROP B16,אפנכ.ק16,AFPR.B16,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בחו''ל,Investment-Proerties Abroad,"תל בונד צמודות ,תל בונד צמודות-יתר ,תל בונד-צמודות 5-15 ,תל בונד-מאגר ,תל בונד צמודות-נדל''ן ,תל בונד-צמודות A ,All-Bond כללי ,All-Bond צמודות","Tel Bond-CPI Linked ,Tel Bond-CPI Linked SmallCap ,Tel Bond-CPI Linked 5-15 ,Tel Bond-Composite ,Tel Bond-CPI Linked RealEstate ,Tel Bond-CPI Linked A ,All-Bond Composite ,All-Bond CPI-Linked",510560188,1172,אפי נכסים,AFI PROPERTIES,ישראל,Israel
1220383,IL0012203837,אפי נכסים אגחיז,AFI PROP B17,אפנכ.ק17,AFPR.B17,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בחו''ל,Investment-Proerties Abroad,"מדד תל בונד שקלי ,תל בונד-מאגר ,תל בונד-שקלי 5-15 ,תל בונד-לא צמודות ,תל בונד-שקלי A ,All-Bond כללי ,All-Bond שקלי",,510560188,1172,אפי נכסים,AFI PROPERTIES,ישראל,Israel
1142231,IL0011422313,אפי נכסים אגח ח,AFI PROP B8,אפנכ.ק8,AFPR.B8,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בחו''ל,Investment-Proerties Abroad,"תל בונד-צמודות 0-3 ,תל בונד צמודות ,תל בונד צמודות-יתר ,תל בונד-מאגר ,תל בונד צמודות-נדל''ן ,תל בונד-צמודות A ,All-Bond כללי ,All-Bond צמודות","Tel Bond-CPI Linked 0-3 ,Tel Bond-CPI Linked ,Tel Bond-CPI Linked SmallCap ,Tel Bond-Composite ,Tel Bond-CPI Linked RealEstate ,Tel Bond-CPI Linked A ,All-Bond Composite ,All-Bond CPI-Linked",510560188,1172,אפי נכסים,AFI PROPERTIES,ישראל,Israel
1223668,IL0012236688,אפי נכס מסחרי 5,AFI PROP P5,אפנכ.נ5,AFPR.P5,ני''ע מסחריים,Commercial Papers,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בחו''ל,Investment-Proerties Abroad,,,510560188,1172,אפי נכסים,AFI PROPERTIES,ישראל,Israel
1091354,IL0010913544,אפי נכסים,AFI PROPERTIES,אפנכ,AFPR,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בחו''ל,Investment-Proerties Abroad,"ת''א-נדל''ן ,ת''א-צמיחה ,ת''א All-Share ,ת''א-רימון ,ת''א-מניב חו''ל","TA-RealEstate ,TA-Growth ,TA-AllShare ,TA-Rimon ,TA-Investment Properties Abroad",510560188,1172,אפי נכסים,AFI PROPERTIES,ישראל,Israel
1162825,IL0011628257,אפריקה מג אגח ה,AFRICA RESID B5,אפמג.ק5,AFRE.B5,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,בנייה,Construction,"מדד תל בונד שקלי ,תל בונד-שקלי 0-3 ,תל בונד-מאגר ,תל בונד-לא צמודות ,תל בונד-שקלי A ,All-Bond כללי ,All-Bond שקלי","Tel Bond Shekel Index ,Tel Bond-Shekel 0-3 ,Tel Bond-Composite ,Tel Bond-Non Linked ,Tel Bond-Shekel A ,All-Bond Composite ,All-Bond Shekel",520034760,1338,אפריקה מגורים,AFRICA RESIDENC,ישראל,Israel
1097948,IL0010979487,אפריקה מגורים,AFRICA RESIDENC,אפמג,AFRE,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,בנייה,Construction,"ת''א-90 ,ת''א-125 ,ת''א-נדל''ן ,מדד תל-דיב ,ת''א All-Share ,ת''א-רימון ,ת''א-SME150 ,ת''א סקטור-באלאנס ,ת''א-בנייה ,ת''א-125 אקלים נקי","TA-90 ,TA-125 ,TA-RealEstate ,Tel-Div Index ,TA-AllShare ,TA-Rimon ,TA-SME150 ,TA Sector-Balance ,TA-Construction ,TA-125 Fossil Free",520034760,1338,אפריקה מגורים,AFRICA RESIDENC,ישראל,Israel
1223239,IL0012232398,אג'לן     אגח א,AGELLAN B1,אגלן.ק1,AGLN.B1,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בחו''ל,Investment-Proerties Abroad,"מדד תל בונד שקלי ,תל בונד-שקלי 0-3 ,תל בונד-מאגר ,תל בונד-לא צמודות ,תל בונד-תשואות שקלי ,תל בונד - גלובל ,תל בונד-שקלי A ,All-Bond כללי ,All-Bond שקלי","Tel Bond Shekel Index ,Tel Bond-Shekel 0-3 ,Tel Bond-Composite ,Tel Bond-Non Linked ,Tel Bond-Yields Shekel ,Tel Bond-Global ,Tel Bond-Shekel A ,All-Bond Composite ,All-Bond Shekel",,2482,אג'לן,AGELLAN,קנדה - אונטריו,Canada
1133487,IL0011334872,ארפורט    אגח ה,AIRPORT      B5,ארפט.ק5,ARPT.B5,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בישראל,Investment-Proerties In Israel,"מדד תל בונד 40 ,מדד תל בונד 60 ,תל בונד-צמודות 0-3 ,תל בונד צמודות ,תל בונד-מאגר ,תל בונד צמודות-נדל''ן ,תל בונד-צמודות AA-AAA ,All-Bond כללי ,All-Bond צמודות","Tel Bond 40 Index ,Tel Bond 60 Index ,Tel Bond-CPI Linked 0-3 ,Tel Bond-CPI Linked ,Tel Bond-Composite ,Tel Bond-CPI Linked RealEstate ,Tel Bond-CPI Linked AA-AAA ,All-Bond Composite ,All-Bond CPI-Linked",511659401,1300,איירפורט סיטי,AIRPORT CITY,ישראל,Israel
